_id,Collection_date,forcens_lat,forcens_long,ind_area,ind_area_log,ind_diam,IRN,Lat_decimal,Long_decimal,num_neighb_300km,ocean,pp_value,rel_abund_median_300km,rel_abund_nearest,Sea_Depth_meters,species,title_abbrev,tmn_0m,total_ind,Vessel,ZF_PF_no_
2961,09/09/1958,-20.96667,-174.4333,127796.2,11.75819,434.0539,5465421,-20.95,-175.2333,2,Pacific,636.0137,0.005371267,0.004651163,-869,dutertrei,N. dutertrei,25.579,3,RNZFA Tui,6421
2994,16/05/1955,-34,172,195491.8,12.18327,554.652,5465423,-33.88333,173.8333,2,Pacific,367.9195,0.004901961,0,-2464,dutertrei,N. dutertrei,19.643,20,HMNZS Lachlan,6423
3242,21/05/1896,-11.52,177.25,307998.3,12.63785,690.0957,5465630,-10.21472,178.0144,3,Pacific,296.48,0.004390779,0.003039514,-4844,obliquiloculata,P. obliquiloculata,28.813,16,HMS Penguin,6630
3015,31/01/1953,-13.9,-125.35,179177,12.09613,495.071,5465608,-13.09167,-124.28,2,Pacific,400.7639,0.03307055,0.02743142,-3456,obliquiloculata,P. obliquiloculata,25.12,10,RV Horizon,6608
3113,29/07/2005,-5.716667,65.96667,113158.8,11.63655,422.695,5465620,-8.41667,65.63333,1,Indian,484.0872,0.05263158,0.05263158,-3694,obliquiloculata,P. obliquiloculata,29.218,11,HMS Sealark,6620
2968,07/06/1956,-27.37,168.59,111607.9,11.62275,429.3433,5465422,-28.88333,170,3,Pacific,302.4433,0.0142132,0.02235772,-3021,dutertrei,N. dutertrei,23.193,12,F.N.Z.R.A.,6422
3000,15/02/1958,-9.883333,-110.6833,165145.3,12.01458,492.0297,5465605,-9.88333,-110.6833,6,Pacific,438.3642,0.06092783,0.05914718,-2712,obliquiloculata,P. obliquiloculata,24.774,6,RV Spencer F. Baird,6605
3243,20/09/1897,-15.15,-176.49,75862.99,11.23668,348.6056,5465631,-13.17167,-175.6883,1,Pacific,289.0364,0,0,-3952,obliquiloculata,P. obliquiloculata,28.372,15,HMS Penguin,6631
3024,01/02/1953,-14,-119.6,152464.8,11.93469,485.8353,5465609,-14.27333,-120.68,3,Pacific,375.8186,0.01183432,0.0115942,-3617,obliquiloculata,P. obliquiloculata,24.848,8,RV Horizon,6609
3117,29/07/2005,-5.716667,65.96667,149709.1,11.91645,467.2935,5465620,-8.41667,65.63333,1,Indian,484.0872,0.05263158,0.05263158,-3694,obliquiloculata,P. obliquiloculata,29.218,11,HMS Sealark,6620
2983,16/05/1955,-34,172,71942.37,11.18362,343.5278,5465423,-33.88333,173.8333,2,Pacific,367.9195,0.004901961,0,-2464,dutertrei,N. dutertrei,19.643,20,HMNZS Lachlan,6423
2001,31/01/1953,-13.9,-125.35,74571.65,11.21952,346.5373,5465268,-13.09167,-124.28,2,Pacific,400.7639,0.2823533,0.3216958,-3456,ruber,G. ruber,25.12,7,RV Horizon,6268
3244,20/09/1897,-15.15,-176.49,103480.4,11.54714,374.1801,5465631,-13.17167,-175.6883,1,Pacific,289.0364,0,0,-3952,obliquiloculata,P. obliquiloculata,28.372,15,HMS Penguin,6631
